county,city,modelYear,make,model,electricVehicleType,electricRange,electricUtility,Range Class
King,Tukwila,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),258.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Seattle,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Snohomish,Lynnwood,2022,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV),218.0,PUGET SOUND ENERGY INC,Long Range
King,Renton,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Kitsap,Bremerton,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
King,Renton,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),125.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Woodinville,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Kitsap,Kingston,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238.0,PUGET SOUND ENERGY INC,Long Range
Snohomish,Bothell,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33.0,PUGET SOUND ENERGY INC,Short Range
King,Seattle,2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),14.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Snoqualmie,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Kenmore,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Mukilteo,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249.0,PUGET SOUND ENERGY INC,Long Range
King,Seatac,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),232.69662921348313,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Clark,Ridgefield,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Kitsap,Bainbridge Island,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26.0,PUGET SOUND ENERGY INC,Short Range
Pierce,Spanaway,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,Short Range
King,Kenmore,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Spokane,Spokane,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,MODERN ELECTRIC WATER COMPANY,Medium Range
Pierce,Tacoma,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
Clark,Battle Ground,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Pierce,Tacoma,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),149.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Medium Range
King,Renton,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Mason,Shelton,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,Long Range
Clark,Ridgefield,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Clark,Vancouver,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
King,Carnation,2021,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),199.33333333333334,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Clyde Hill,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Pierce,Gig Harbor,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Medium Range
Clallam,Sequim,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,Medium Range
King,Auburn,2012,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),62.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Pierce,University Place,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
King,Mercer Island,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),293.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Kenmore,2017,BMW,I3,Battery Electric Vehicle (BEV),81.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Clark,Ridgefield,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
King,Seattle,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),222.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Franklin,Pasco,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,Long Range
Clark,Battle Ground,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
King,Kent,2019,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),17.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Kirkland,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),330.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Graham,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,"BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||OHOP MUTUAL LIGHT COMPANY, INC|PENINSULA LIGHT COMPANY",Long Range
Pierce,Fox Island,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
Jefferson,Port Ludlow,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,Short Range
King,Shoreline,2016,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),14.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Clark,Brush Prairie,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Clark,La Center,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
King,Woodinville,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Benton,Richland,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),Long Range
Skagit,Sedro Woolley,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,PUGET SOUND ENERGY INC,Long Range
King,Seattle,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),204.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Mercer Island,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2016,FIAT,500,Battery Electric Vehicle (BEV),84.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Clark,Vancouver,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
King,Seattle,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Thurston,Olympia,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC,Short Range
King,Vashon,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Clark,Ridgefield,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Kitsap,Port Orchard,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
Whatcom,Bellingham,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Short Range
King,Carnation,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),18.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Seattle,2020,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Thurston,Lacey,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
Whatcom,Bellingham,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Long Range
Spokane,Spokane Valley,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),47.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Short Range
King,Redmond,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),330.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Bellevue,2020,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),22.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Pierce,Orting,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),21.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Skagit,Anacortes,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,PUGET SOUND ENERGY INC,Short Range
Walla Walla,Walla Walla,2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV),258.0,PACIFICORP,Long Range
Snohomish,Bothell,2016,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),14.0,PUGET SOUND ENERGY INC,Short Range
Snohomish,Edmonds,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,PUGET SOUND ENERGY INC,Long Range
San Juan,Friday Harbor,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,Short Range
King,Sammamish,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),330.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Island,Camano Island,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,Short Range
Kitsap,Bainbridge Island,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC,Short Range
Jefferson,Port Townsend,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,Long Range
King,Seattle,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Sammamish,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Tacoma,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),110.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Medium Range
King,Seattle,2023,AUDI,E-TRON,Battery Electric Vehicle (BEV),210.54545454545453,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Lake Tapps,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Duvall,2022,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Spokane,Spokane,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Long Range
Pierce,Bonney Lake,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Kitsap,Seabeck,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,PUGET SOUND ENERGY INC,Long Range
King,Woodinville,2022,AUDI,E-TRON,Battery Electric Vehicle (BEV),210.54545454545453,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Sammamish,2020,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Pierce,Parkland,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,Short Range
Snohomish,Lynnwood,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC,Long Range
King,Sammamish,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Issaquah,2016,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),14.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Benton,Prosser,2014,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV),37.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,Short Range
King,Federal Way,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2020,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),21.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Mason,Union,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,Short Range
Spokane,Spokane,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Short Range
Clark,La Center,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Snohomish,Snohomish,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,PUGET SOUND ENERGY INC,Medium Range
King,Federal Way,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Vashon,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Auburn,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Woodinville,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),17.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Kitsap,Port Orchard,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249.0,PUGET SOUND ENERGY INC,Long Range
Lewis,Chehalis,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),47.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,Short Range
King,Issaquah,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),308.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Yakima,Yakima,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,PACIFICORP,Medium Range
Snohomish,Marysville,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30.0,PUGET SOUND ENERGY INC,Short Range
King,Federal Way,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Issaquah,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Seatac,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Sammamish,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Thurston,Oakville,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC,Short Range
King,Auburn,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Sammamish,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Cowlitz,Longview,2021,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),153.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,Medium Range
Spokane,Valleyford,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Long Range
King,Medina,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),232.69662921348313,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Bothell,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Yakima,Yakima,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PACIFICORP,Short Range
Thurston,Olympia,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),97.0,PUGET SOUND ENERGY INC,Short Range
King,Kent,2017,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Woodinville,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Island,Coupeville,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC,Long Range
Kitsap,Port Orchard,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC,Short Range
Kitsap,Port Orchard,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC,Short Range
Snohomish,Mukilteo,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC,Long Range
Thurston,Rochester,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC,Short Range
Kitsap,Bremerton,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26.0,PUGET SOUND ENERGY INC,Short Range
King,Kent,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),13.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Kitsap,Bremerton,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,PUGET SOUND ENERGY INC,Short Range
King,Seattle,2014,TOYOTA,RAV4,Battery Electric Vehicle (BEV),103.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Medium Range
Snohomish,Lake Stevens,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC,Short Range
Kitsap,Silverdale,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,PUGET SOUND ENERGY INC,Long Range
Kitsap,Kingston,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC,Short Range
King,Kirkland,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),125.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
Kitsap,Kingston,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),330.0,PUGET SOUND ENERGY INC,Long Range
Yakima,Yakima,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),222.0,PACIFICORP,Long Range
King,Enumclaw,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Auburn,2016,FIAT,500,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Yakima,Moxee,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,PACIFICORP,Long Range
Yakima,Tieton,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,PACIFICORP,Long Range
Kitsap,Port Orchard,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),20.0,PUGET SOUND ENERGY INC,Short Range
King,Renton,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Tukwila,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Thurston,Tumwater,2013,FORD,FOCUS,Battery Electric Vehicle (BEV),76.0,PUGET SOUND ENERGY INC,Short Range
Kitsap,Suquamish,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33.0,PUGET SOUND ENERGY INC,Short Range
Yakima,Yakima,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PACIFICORP,Short Range
Island,Oak Harbor,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),21.0,PUGET SOUND ENERGY INC,Short Range
King,Shoreline,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),33.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Kitsap,Seabeck,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,PUGET SOUND ENERGY INC,Long Range
King,Sammamish,2002,TOYOTA,RAV4,Battery Electric Vehicle (BEV),95.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Snohomish,Monroe,2023,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),33.0,PUGET SOUND ENERGY INC,Short Range
Kitsap,Silverdale,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,PUGET SOUND ENERGY INC,Medium Range
Kitsap,Bainbridge Island,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72.0,PUGET SOUND ENERGY INC,Short Range
King,Shoreline,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Thurston,Yelm,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC,Short Range
King,Bellevue,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),14.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Thurston,Tumwater,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
King,Kenmore,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Thurston,Olympia,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),289.0,PUGET SOUND ENERGY INC,Long Range
Thurston,Olympia,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC,Short Range
King,Burien,2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Tukwila,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Snohomish,Stanwood,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,PUGET SOUND ENERGY INC,Long Range
King,Sammamish,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),73.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Kitsap,Poulsbo,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
Snohomish,Arlington,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
